            , Datos cliente :                                                   ,   , Presupuesto  Nº :                  , 7 /2025                 , 
Nombre :    ,                                                                   ,   , m² a construir :                   , 15300                   , m²
Dirección : ,                                                                   ,   , Pg    :                            , 1                       , 
Localidad : ,                                                                   ,   , Parc    :                          , 120 y 121               , 
Provincia   ,                                                                   ,   , Recinto  :                         ,                         , 
CIF :       ,                                                                   ,   , Localidad  :                       , Belgida                 , 
Telf.       ,                                                                   ,   , Ref. Catastral :                   ,                         , 
Nº Cliente :, 430.  00000                                                       ,   ,                                    ,                         , 
            ,                                                                   ,   , Trabajo / construcción a realizar :, Invernadero para cítrico, 
            ,                                                                   ,   ,                                    ,                         , 
            , Materiales                                                        ,   , Precio                             , Cantidad                , Total
            , Adoquín                                                           , ud, 0.6                                ,                         , 0
            , "Alambre dulce  1,30 mm  - Nº   8"                                , kg, 2.3                                , 50                      , 115
            , "Alambre dulce  1,40 mm  - Nº   9"                                , kg, 2.2                                ,                         , 0
            , "Alambre dulce  1,80 mm  - Nº 12"                                 , kg, 2.4                                , 50                      , 120
            , Alambre de  2 mm - Acero K 2                                      , kg, 2.45                               , 100                     , 245
            , "Alambre dulce de  2,40 mm - Nº  15"                              , kg, 2.2                                ,                         , 0
            , "Alambre acero duro  2,50 mm"                                     , kg, 2.2                                ,                         , 0
            , "Alambre acero cercas 3,00 mm "                                   , kg, 2.3                                , 100                     , 230
            , "Alambre dulce  3,00 mm - Nº 17"                                  , kg, 2.2                                ,                         , 0
            , "Alambre dulce  3,40 mm - Nº 18"                                  , kg, 1.8                                ,                         , 0
            , "Alambre acero cercas 3,80 mm "                                   , kg, 2.2                                ,                         , 0
            , "Alambre dulce  4,40 mm  - Nº 20"                                 , kg, 1.85                               , 200                     , 370
            , Capuchones - Capuchón                                             , ud, 0.25                               ,                         , 0
            , Carraca/Tensor doble varilla - Carracas dobles                    , ud, 17.8                               , 250                     , 4450
            , Carraca/Tensor simple  - Carracas sencilla                        , ud, 12                                 , 50                      , 600
            , "Cordón  4,00 mm"                                                 , ml, 0.3                                ,                         , 0
            , "Cordón  6,00 mm"                                                 , ml, 0.6                                ,                         , 0
            , "Cordón  8,00 mm"                                                 , ml, 0.72                               ,                         , 0
            , "Elástico/CUERDA ELASTICA 6,00MM - R200m"                         , ml, 0.38                               ,                         , 0
            , "Elástico/CUERDA ELASTICA 6,00MM x 50cm"                          , ud, 0.2                                ,                         , 0
            , Empalmes   3mm                                                    , ml, 2.6                                ,                         , 0
            , "Empalme   3,00 mm"                                               , ml, 2.9                                ,                         , 0
            , "Empalme   4,00 mm"                                               , ud, 3.8                                ,                         , 0
            , "Empalme   5,00 mm"                                               , ud, 4.35                               , 25                      , 108.75
            , "Empalme   6,00 mm"                                               , ud, 5.2                                ,                         , 0
            , Grapa (Caja)                                                      , ud, 7.5                                ,                         , 0
            , Hilo - Cordón trenzado nylón 5mm - Redesmar                       , ml, 0.25                               ,                         , 0
            , "Hilo - Cuerda trenza 7,0mm - Redesmar - Bobina 300mts"           , kl, 3.95                               , 50                      , 197.5
            , Hormigón                                                          , m³, 140                                , 45                      , 6300
            , Macetas - Cont. Alto 17 x 30 (5'5lts) c/rej negro - Maceta tubular, ud, 0.7                                ,                         , 0
